ModbusId,UnitName,UnitId,FunctionGroup,FunctionNumber,DatapointId,DatapointName,Type,TypeName,Decimal,FunctionGroup name,Function name,Steps,Min. value,Max. value,Writable,unit,Commentary,Text 0,Text 1,Text 2,Text 3,Text 4,Text 5,Text 6,Text 7,Text 8,Text 9,Text 10,Text 11,Text 12,Text 13,Text 14,Text 15,Text 16,Text 17,Text 18,Text 19,Text 20,Text 21,Text 22,Text 23,Text 24,Text 25,Text 26,Text 27,Text 28,Text 29,Text 30,Text 31
102,SOL,66,0,0,21040,VA2-FE1 HW-Ausgang,1,U8,0,Allgemein,Allgemein,1,0,1,Yes,,Status Ausgang / Aktivierung 0=AUS 1=EIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,SOL,66,0,0,21041,VA3-FE1 HW-Ausgang,1,U8,0,Allgemein,Allgemein,1,0,1,Yes,,Status Ausgang / Aktivierung 0=AUS 1=EIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,SOL,66,0,0,21043,VA1-FE2 HW-Ausgang,1,U8,0,Allgemein,Allgemein,1,0,1,Yes,,Status Ausgang / Aktivierung 0=AUS 1=EIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,SOL,66,0,0,21044,VA2-FE2 HW-Ausgang,1,U8,0,Allgemein,Allgemein,1,0,1,Yes,,Status Ausgang / Aktivierung 0=AUS 1=EIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,SOL,66,0,0,21045,VA3-FE2 HW-Ausgang,1,U8,0,Allgemein,Allgemein,1,0,1,Yes,,Status Ausgang / Aktivierung 0=AUS 1=EIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,SOL,66,0,0,21078,VA0-10V/PWM HW-Ausgang,1,U8,0,Allgemein,Allgemein,5,0,100,Yes,%,"Status Ausgang / Aktivierung 0-100% (5% Schritte, 0-10V Ausgang muss konfig. sein)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,SOL,66,0,0,21079,VA0-10V/PWM-FE1 HW-Ausgang,1,U8,0,Allgemein,Allgemein,5,0,100,Yes,%,"Status Ausgang / Aktivierung 0-100% (5% Schritte, 0-10V Ausgang muss konfig. sein)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,SOL,66,0,0,21080,VA0-10V/PWM-FE2 HW-Ausgang,1,U8,0,Allgemein,Allgemein,5,0,100,Yes,%,"Status Ausgang / Aktivierung 0-100% (5% Schritte, 0-10V Ausgang muss konfig. sein)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,SOL,66,0,0,29042,Aktiver Fehler 1_appearance_time,3,U16,0,Allgemein,Allgemein,1,0,0,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,SOL,66,0,0,29042,Aktiver Fehler 1_appearance_date,4,U16,0,Allgemein,Allgemein,1,0,0,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,SOL,66,0,0,29042,Aktiver Fehler 1_disappear_time,5,U16,0,Allgemein,Allgemein,1,0,0,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,SOL,66,0,0,29042,Aktiver Fehler 1_disappear_date,6,U16,0,Allgemein,Allgemein,1,0,0,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,SOL,66,0,0,29042,Aktiver Fehler 1_source,7,U16,0,Allgemein,Allgemein,1,0,0,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,SOL,66,0,0,29042,Aktiver Fehler 1_function_group,8,U8,0,Allgemein,Allgemein,1,0,0,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
